Local time,Open,High,Low,Close,Volume
03.08.2012 10:00:00.000 GMT+1000,3.3049,3.3730,3.2979,3.3648,0.2388
04.08.2012 10:00:00.000 GMT+1000,3.3648,3.3648,3.3648,3.3648,0
05.08.2012 10:00:00.000 GMT+1000,3.3658,3.3660,3.3568,3.3639,0.0076
06.08.2012 10:00:00.000 GMT+1000,3.3629,3.3910,3.3429,3.3749,0.1716
07.08.2012 10:00:00.000 GMT+1000,3.3760,3.4480,3.3688,3.4209,0.172
08.08.2012 10:00:00.000 GMT+1000,3.4219,3.4319,3.4020,3.4180,0.1787
09.08.2012 10:00:00.000 GMT+1000,3.4189,3.4420,3.4028,3.4169,0.1601
10.08.2012 10:00:00.000 GMT+1000,3.4158,3.4228,3.3598,3.4009,0.1538
11.08.2012 10:00:00.000 GMT+1000,3.4009,3.4009,3.4009,3.4009,0
12.08.2012 10:00:00.000 GMT+1000,3.3956,3.4000,3.3956,3.3959,0.0035
13.08.2012 10:00:00.000 GMT+1000,3.3949,3.3979,3.3408,3.3538,0.1327
14.08.2012 10:00:00.000 GMT+1000,3.3530,3.3789,3.3358,3.3519,0.1465
15.08.2012 10:00:00.000 GMT+1000,3.3528,3.3710,3.3329,3.3530,0.1448
16.08.2012 10:00:00.000 GMT+1000,3.3520,3.3860,3.3408,3.3820,0.1382
17.08.2012 10:00:00.000 GMT+1000,3.3809,3.4240,3.3739,3.4140,0.1205
18.08.2012 10:00:00.000 GMT+1000,3.4140,3.4140,3.4140,3.4140,0
19.08.2012 10:00:00.000 GMT+1000,3.4148,3.4210,3.4148,3.4170,0.004
20.08.2012 10:00:00.000 GMT+1000,3.4180,3.4180,3.3528,3.3790,0.1316
21.08.2012 10:00:00.000 GMT+1000,3.3779,3.4650,3.3688,3.4390,0.2048
22.08.2012 10:00:00.000 GMT+1000,3.4378,3.4839,3.4279,3.4700,0.1833
23.08.2012 10:00:00.000 GMT+1000,3.4688,3.5110,3.4618,3.4730,0.2133
24.08.2012 10:00:00.000 GMT+1000,3.4740,3.4930,3.4548,3.4789,0.1708
25.08.2012 10:00:00.000 GMT+1000,3.4789,3.4789,3.4789,3.4789,0
26.08.2012 10:00:00.000 GMT+1000,3.4809,3.4988,3.4804,3.4949,0.0053
27.08.2012 10:00:00.000 GMT+1000,3.4940,3.5099,3.4669,3.4749,0.1288
28.08.2012 10:00:00.000 GMT+1000,3.4739,3.4760,3.4478,3.4720,0.1334
29.08.2012 10:00:00.000 GMT+1000,3.4709,3.4710,3.4268,3.4379,0.1251
30.08.2012 10:00:00.000 GMT+1000,3.4389,3.4938,3.4319,3.4419,0.1239
31.08.2012 10:00:00.000 GMT+1000,3.4429,3.4670,3.4068,3.4589,0.1613
01.09.2012 10:00:00.000 GMT+1000,3.4589,3.4589,3.4589,3.4589,0
02.09.2012 10:00:00.000 GMT+1000,3.4490,3.4570,3.4418,3.4539,0.0085
03.09.2012 10:00:00.000 GMT+1000,3.4519,3.4989,3.4318,3.4850,0.1139
04.09.2012 10:00:00.000 GMT+1000,3.4838,3.4949,3.4608,3.4678,0.1457
05.09.2012 10:00:00.000 GMT+1000,3.4698,3.5320,3.4459,3.5210,0.1746
06.09.2012 10:00:00.000 GMT+1000,3.5198,3.5380,3.4927,3.5108,0.2002
07.09.2012 10:00:00.000 GMT+1000,3.5100,3.6519,3.5038,3.6430,0.2128
08.09.2012 10:00:00.000 GMT+1000,3.6430,3.6430,3.6430,3.6430,0
09.09.2012 10:00:00.000 GMT+1000,3.6419,3.6469,3.6398,3.6449,0.0074
10.09.2012 10:00:00.000 GMT+1000,3.6440,3.6988,3.6319,3.6720,0.1823
11.09.2012 10:00:00.000 GMT+1000,3.6730,3.7109,3.6478,3.6830,0.179
12.09.2012 10:00:00.000 GMT+1000,3.6820,3.7298,3.6628,3.6849,0.208
13.09.2012 10:00:00.000 GMT+1000,3.6839,3.7480,3.6579,3.7339,0.2208
14.09.2012 10:00:00.000 GMT+1000,3.7329,3.8370,3.7329,3.8166,0.2533
15.09.2012 10:00:00.000 GMT+1000,3.8166,3.8166,3.8166,3.8166,0
16.09.2012 10:00:00.000 GMT+1000,3.8269,3.8289,3.8129,3.8199,0.0063
17.09.2012 10:00:00.000 GMT+1000,3.8189,3.8248,3.7269,3.7618,0.1766
18.09.2012 10:00:00.000 GMT+1000,3.7630,3.7969,3.7439,3.7919,0.1856
19.09.2012 10:00:00.000 GMT+1000,3.7909,3.8378,3.7818,3.7980,0.1943
20.09.2012 10:00:00.000 GMT+1000,3.7969,3.8070,3.7328,3.7779,0.1867
21.09.2012 10:00:00.000 GMT+1000,3.7769,3.8080,3.7699,3.7729,0.2338
22.09.2012 10:00:00.000 GMT+1000,3.7729,3.7729,3.7729,3.7729,0
23.09.2012 10:00:00.000 GMT+1000,3.7689,3.7720,3.7639,3.7680,0.0034
24.09.2012 10:00:00.000 GMT+1000,3.7670,3.7679,3.7149,3.7419,0.2001
25.09.2012 10:00:00.000 GMT+1000,3.7409,3.7829,3.7308,3.7360,0.1984
26.09.2012 10:00:00.000 GMT+1000,3.7369,3.7550,3.6798,3.7198,0.1944
27.09.2012 10:00:00.000 GMT+1000,3.7188,3.7470,3.6988,3.7429,0.2219
28.09.2012 10:00:00.000 GMT+1000,3.7419,3.7759,3.7380,3.7519,0.2193
29.09.2012 10:00:00.000 GMT+1000,3.7519,3.7519,3.7519,3.7519,0
30.09.2012 10:00:00.000 GMT+1000,3.7428,3.7460,3.7298,3.7350,0.0083
01.10.2012 10:00:00.000 GMT+1000,3.7360,3.7970,3.7208,3.7738,0.2116
02.10.2012 10:00:00.000 GMT+1000,3.7749,3.8219,3.7679,3.7858,0.1943
03.10.2012 10:00:00.000 GMT+1000,3.7869,3.7889,3.7599,3.7819,0.1812
04.10.2012 10:00:00.000 GMT+1000,3.7809,3.8118,3.7648,3.7848,0.2005
05.10.2012 10:00:00.000 GMT+1000,3.7879,3.8089,3.7488,3.7540,0.1735
06.10.2012 10:00:00.000 GMT+1000,3.7540,3.7540,3.7540,3.7540,0
07.10.2012 11:00:00.000 GMT+1100,3.7570,3.7600,3.7508,3.7570,0.0057
08.10.2012 11:00:00.000 GMT+1100,3.7579,3.7589,3.7019,3.7328,0.1647
09.10.2012 11:00:00.000 GMT+1100,3.7318,3.7520,3.7058,3.7119,0.1893
10.10.2012 11:00:00.000 GMT+1100,3.7109,3.7270,3.6929,3.7058,0.174
11.10.2012 11:00:00.000 GMT+1100,3.7069,3.7769,3.6908,3.7508,0.1818
12.10.2012 11:00:00.000 GMT+1100,3.7519,3.7550,3.6918,3.6938,0.1767
13.10.2012 11:00:00.000 GMT+1100,3.6938,3.6938,3.6938,3.6938,0
14.10.2012 11:00:00.000 GMT+1100,3.6999,3.6999,3.6445,3.6549,0.0223
15.10.2012 11:00:00.000 GMT+1100,3.6558,3.7090,3.6558,3.7000,0.1846
16.10.2012 11:00:00.000 GMT+1100,3.6987,3.7259,3.6858,3.7229,0.1565
17.10.2012 11:00:00.000 GMT+1100,3.7219,3.7540,3.6879,3.7390,0.1648
18.10.2012 11:00:00.000 GMT+1100,3.7399,3.7630,3.7199,3.7359,0.1682
19.10.2012 11:00:00.000 GMT+1100,3.7348,3.7460,3.6260,3.6269,0.1985
20.10.2012 11:00:00.000 GMT+1100,3.6269,3.6269,3.6269,3.6269,0
21.10.2012 11:00:00.000 GMT+1100,3.6280,3.6280,3.6106,3.6229,0.0148
22.10.2012 11:00:00.000 GMT+1100,3.6239,3.6519,3.6078,3.6278,0.1607
23.10.2012 11:00:00.000 GMT+1100,3.6269,3.6400,3.5468,3.5770,0.1922
24.10.2012 11:00:00.000 GMT+1100,3.5760,3.5969,3.5478,3.5760,0.1984
25.10.2012 11:00:00.000 GMT+1100,3.5769,3.5890,3.5368,3.5609,0.1677
26.10.2012 11:00:00.000 GMT+1100,3.5599,3.5680,3.5218,3.5568,0.2143
27.10.2012 11:00:00.000 GMT+1100,3.5568,3.5568,3.5568,3.5568,0
28.10.2012 11:00:00.000 GMT+1100,3.5598,3.5600,3.5397,3.5489,0.0067
29.10.2012 11:00:00.000 GMT+1100,3.5500,3.5600,3.4808,3.4978,0.1418
30.10.2012 11:00:00.000 GMT+1100,3.4989,3.5318,3.4979,3.5129,0.1169
31.10.2012 11:00:00.000 GMT+1100,3.5139,3.5580,3.5078,3.5189,0.1581
01.11.2012 11:00:00.000 GMT+1100,3.5179,3.5680,3.5178,3.5559,0.1608
02.11.2012 11:00:00.000 GMT+1100,3.5549,3.5559,3.4717,3.4838,0.1803
03.11.2012 11:00:00.000 GMT+1100,3.4838,3.4838,3.4838,3.4838,0
04.11.2012 11:00:00.000 GMT+1100,3.4759,3.4920,3.4756,3.4900,0.0047
05.11.2012 11:00:00.000 GMT+1100,3.4889,3.5010,3.4478,3.4839,0.1437
06.11.2012 11:00:00.000 GMT+1100,3.4848,3.5209,3.4688,3.5060,0.1575
07.11.2012 11:00:00.000 GMT+1100,3.5050,3.5430,3.4298,3.4459,0.2647
08.11.2012 11:00:00.000 GMT+1100,3.4439,3.4730,3.4328,3.4678,0.2029
09.11.2012 11:00:00.000 GMT+1100,3.4689,3.4910,3.4018,3.4450,0.2168
10.11.2012 11:00:00.000 GMT+1100,3.4450,3.4450,3.4450,3.4450,0
11.11.2012 11:00:00.000 GMT+1100,3.4459,3.4608,3.4450,3.4518,0.0048
12.11.2012 11:00:00.000 GMT+1100,3.4530,3.4748,3.4289,3.4599,0.1636
13.11.2012 11:00:00.000 GMT+1100,3.4610,3.4969,3.4209,3.4688,0.1946
14.11.2012 11:00:00.000 GMT+1100,3.4699,3.4908,3.4409,3.4478,0.1795
15.11.2012 11:00:00.000 GMT+1100,3.4470,3.4780,3.4398,3.4710,0.1828
16.11.2012 11:00:00.000 GMT+1100,3.4697,3.4730,3.4228,3.4499,0.1915
17.11.2012 11:00:00.000 GMT+1100,3.4499,3.4499,3.4499,3.4499,0
18.11.2012 11:00:00.000 GMT+1100,3.4550,3.4800,3.4550,3.4748,0.0036
19.11.2012 11:00:00.000 GMT+1100,3.4759,3.5390,3.4638,3.5140,0.1444
20.11.2012 11:00:00.000 GMT+1100,3.5128,3.5330,3.5039,3.5239,0.1428
21.11.2012 11:00:00.000 GMT+1100,3.5229,3.5240,3.4709,3.5138,0.1474
22.11.2012 11:00:00.000 GMT+1100,3.5138,3.5138,3.5138,3.5138,0
23.11.2012 11:00:00.000 GMT+1100,3.4868,3.5290,3.4868,3.5228,0.1212
24.11.2012 11:00:00.000 GMT+1100,3.5228,3.5228,3.5228,3.5228,0
25.11.2012 11:00:00.000 GMT+1100,3.5330,3.5400,3.5218,3.5228,0.0045
26.11.2012 11:00:00.000 GMT+1100,3.5239,3.5390,3.5058,3.5379,0.1309
27.11.2012 11:00:00.000 GMT+1100,3.5389,3.5519,3.5158,3.5279,0.1413
28.11.2012 11:00:00.000 GMT+1100,3.5289,3.5369,3.4800,3.5223,0.1712
29.11.2012 11:00:00.000 GMT+1100,3.5299,3.6050,3.5220,3.5959,0.1707
30.11.2012 11:00:00.000 GMT+1100,3.5969,3.6499,3.5909,3.6409,0.149
01.12.2012 11:00:00.000 GMT+1100,3.6409,3.6409,3.6409,3.6409,0
02.12.2012 11:00:00.000 GMT+1100,3.6459,3.6470,3.6428,3.6460,0.0021
03.12.2012 11:00:00.000 GMT+1100,3.6447,3.6659,3.6408,3.6559,0.1322
04.12.2012 11:00:00.000 GMT+1100,3.6549,3.6779,3.6328,3.6569,0.1412
05.12.2012 11:00:00.000 GMT+1100,3.6559,3.6920,3.6499,3.6749,0.1513
06.12.2012 11:00:00.000 GMT+1100,3.6728,3.6880,3.6318,3.6459,0.1729
07.12.2012 11:00:00.000 GMT+1100,3.6470,3.6779,3.6408,3.6660,0.1529
08.12.2012 11:00:00.000 GMT+1100,3.6660,3.6660,3.6660,3.6660,0
09.12.2012 11:00:00.000 GMT+1100,3.6649,3.6669,3.6598,3.6659,0.0058
10.12.2012 11:00:00.000 GMT+1100,3.6650,3.7180,3.6639,3.7037,0.1218
11.12.2012 11:00:00.000 GMT+1100,3.7050,3.7060,3.6818,3.6889,0.1012
12.12.2012 11:00:00.000 GMT+1100,3.6879,3.7190,3.6740,3.7038,0.122
13.12.2012 11:00:00.000 GMT+1100,3.7029,3.7050,3.6519,3.6690,0.1377
14.12.2012 11:00:00.000 GMT+1100,3.6699,3.6930,3.6628,3.6739,0.1081
15.12.2012 11:00:00.000 GMT+1100,3.6739,3.6739,3.6739,3.6739,0
16.12.2012 11:00:00.000 GMT+1100,3.6829,3.6859,3.6789,3.6799,0.0042
17.12.2012 11:00:00.000 GMT+1100,3.6808,3.6920,3.6468,3.6739,0.1149
18.12.2012 11:00:00.000 GMT+1100,3.6728,3.6850,3.6388,3.6539,0.1165
19.12.2012 11:00:00.000 GMT+1100,3.6529,3.6609,3.5969,3.6069,0.1175
20.12.2012 11:00:00.000 GMT+1100,3.6079,3.6129,3.5218,3.5399,0.1247
21.12.2012 11:00:00.000 GMT+1100,3.5390,3.5780,3.5339,3.5648,0.1314
22.12.2012 11:00:00.000 GMT+1100,3.5648,3.5648,3.5648,3.5648,0
23.12.2012 11:00:00.000 GMT+1100,3.5600,3.5670,3.5600,3.5640,0.0018
24.12.2012 11:00:00.000 GMT+1100,3.5629,3.5780,3.5468,3.5498,0.0637
25.12.2012 11:00:00.000 GMT+1100,3.5498,3.5498,3.5498,3.5498,0
